time,queue_length,busy_servers
801.5947240190577,0,2
802.2779021223582,1,2
802.694914101412,1,1
802.694914101412,0,2
802.8972139218374,0,1
804.820820852147,0,0
805.2392279697021,1,0
805.2392279697021,0,1
805.6067964465125,0,0
807.1437057725299,1,0
807.1437057725299,0,1
808.4365505969466,1,1
808.4365505969466,0,2
808.4889990671386,0,1
808.7457075644382,1,1
808.7457075644382,0,2
809.1345107217982,1,2
809.2261738794804,1,1
809.2261738794804,0,2
809.4781226721975,0,1
810.6099978556432,0,0
811.086183696944,1,0
811.086183696944,0,1
811.5362826829366,1,1
811.5362826829366,0,2
813.4440300657407,1,2
813.596723974964,1,1
813.596723974964,0,2
814.4944590664949,0,1
814.9550608017836,0,0
816.7189396989234,1,0
816.7189396989234,0,1
817.1454335705532,1,1
817.1454335705532,0,2
818.9533552987344,0,1
819.9506009633083,1,1
819.9506009633083,0,2
820.672767863759,0,1
820.699311171964,1,1
820.699311171964,0,2
821.0748456133559,0,1
821.1527146454623,1,1
821.1527146454623,0,2
822.0682237103817,0,1
822.0946060814565,0,0
823.6230213926005,1,0
823.6230213926005,0,1
824.4189011655263,1,1
824.4189011655263,0,2
824.8165415149928,0,1
825.1963184705361,1,1
825.1963184705361,0,2
825.5222564286138,1,2
825.6586568308471,1,1
825.6586568308471,0,2
825.7399851950188,0,1
826.7619589077023,0,0
827.6470810373916,1,0
827.6470810373916,0,1
827.9350527697196,1,1
827.9350527697196,0,2
829.1468060322557,0,1
833.383576206971,1,1
833.383576206971,0,2
833.4761420684414,0,1
834.3709953417851,1,1
834.3709953417851,0,2
835.8810047612241,1,2
836.3233411828421,2,2
836.8526366291806,2,1
836.8526366291806,1,2
837.0213351268892,2,2
837.3001276390738,3,2
837.8738229619493,3,1
837.8738229619493,2,2
838.3012555196306,2,1
838.3012555196306,1,2
838.4248843146775,1,1
838.4248843146775,0,2
839.7431177474873,0,1
840.0261565397394,1,1
840.0261565397394,0,2
840.3602704370277,1,2
840.6528545506903,1,1
840.6528545506903,0,2
840.9216703846585,0,1
841.1896560260766,1,1
841.1896560260766,0,2
841.6971164059428,0,1
842.1797286567593,1,1
842.1797286567593,0,2
842.3938709398049,1,2
842.7824886019808,2,2
844.4499914236472,2,1
844.4499914236472,1,2
845.1714796736367,1,1
845.1714796736367,0,2
845.7515238220547,0,1
846.0421977790594,1,1
846.0421977790594,0,2
846.7318609725742,0,1
847.0180186656654,1,1
847.0180186656654,0,2
847.7689280834703,1,2
848.1774963934222,2,2
848.4508640278092,3,2
848.6185912568121,4,2
848.6642450332587,4,1
848.6642450332587,3,2
849.03230833895,4,2
849.0362651942306,4,1
849.0362651942306,3,2
849.1522671726897,3,1
849.1522671726897,2,2
849.2665792238464,3,2
849.4113560704964,4,2
849.8349898647592,5,2
850.4041288472389,6,2
850.4490744373514,7,2
851.311775066473,7,1
851.311775066473,6,2
851.4038955984098,7,2
851.4733116887436,7,1
851.4733116887436,6,2
852.2255268518707,7,2
852.5398945255572,7,1
852.5398945255572,6,2
852.5522398201289,6,1
852.5522398201289,5,2
852.907709657216,5,1
852.907709657216,4,2
853.8372052274508,4,1
853.8372052274508,3,2
854.116711621476,4,2
854.7516036665485,4,1
854.7516036665485,3,2
854.9353356121212,4,2
856.8274178440186,4,1
856.8274178440186,3,2
857.326921995215,4,2
