t,S,I,R
18.72615770055197,481,141,378
18.737148797825068,480,142,378
18.771535870247533,480,141,379
18.819731917306033,480,140,380
18.824599873473154,479,141,380
18.826597247456856,478,142,380
18.842309544918194,477,143,380
18.858684104532532,476,144,380
18.916626502686388,475,145,380
18.926327586735173,474,146,380
18.95762195203404,474,145,381
18.961734272916374,474,144,382
18.96683308333213,473,145,382
18.993586977238053,473,144,383
19.01053241176181,473,143,384
19.01283443131918,473,142,385
19.01427435908156,473,141,386
19.015851895743452,473,140,387
19.03010002675788,472,141,387
19.043965525919962,472,140,388
19.057730265257636,471,141,388
19.062144501231344,470,142,388
19.072471889697503,470,141,389
19.092417858105467,469,142,389
19.096166507903106,468,143,389
19.10814953783833,468,142,390
19.112493402239217,467,143,390
19.121628298778536,467,142,391
19.13765842726899,467,141,392
19.17167276585174,466,142,392
19.182182480840684,466,141,393
19.18738524371513,466,140,394
19.190943648920523,466,139,395
19.19723946582795,466,138,396
19.24638969368415,465,139,396
19.255201487557258,465,138,397
19.260774168708075,464,139,397
19.270516232506022,463,140,397
19.300342762436376,462,141,397
19.319919395418612,462,140,398
19.321551059009906,462,139,399
19.33770319892301,462,138,400
19.345070636591327,461,139,400
19.34536439876529,460,140,400
19.36538106551348,459,141,400
19.37586011134298,459,140,401
19.39294854714861,459,139,402
19.39681532626598,458,140,402
19.39798937681102,457,141,402
19.429158067098157,456,142,402
19.431996001852866,456,141,403
19.437558357110586,456,140,404
19.44890757684128,456,139,405
19.44893877365395,455,140,405
19.46041479169841,455,139,406
19.462652820726635,455,138,407
19.47820308720572,455,137,408
19.507608500361325,454,138,408
19.51064722411656,454,137,409
19.516737917193897,454,136,410
19.52036036973856,454,135,411
19.520713963876496,454,134,412
19.536534582495896,453,135,412
19.54750934304916,453,134,413
19.548195555406185,452,135,413
19.566956343165153,452,134,414
19.582700695287457,451,135,414
19.593971717945003,450,136,414
19.6092036910617,449,137,414
19.618767140855063,448,138,414
19.66185425048097,448,137,415
19.664416734981717,448,136,416
19.665011059386714,448,135,417
19.68137336428061,448,134,418
19.737033178356985,447,135,418
19.752798587084282,446,136,418
19.75436384361972,446,135,419
19.77896937494551,445,136,419
19.78908393596309,444,137,419
19.80888141607238,444,136,420
19.83716233347783,443,137,420
19.838344958858663,443,136,421
19.859506190279188,442,137,421
19.861035880812626,441,138,421
19.93468759787979,441,137,422
19.941223617568326,441,136,423
19.956906631554542,441,135,424
19.978842751212667,441,134,425
19.990116773218617,440,135,425
20.02764535822717,439,136,425
20.041207643130065,438,137,425
20.046459280256396,438,136,426
20.04713558074677,437,137,426
20.063777491035538,437,136,427
20.091496964201625,437,135,428
20.111837725520207,436,136,428
20.123904443853768,435,137,428
20.131990304088422,434,138,428
20.141999602022196,434,137,429
20.16296758287954,433,138,429
20.235079420220348,432,139,429
20.24262029288444,431,140,429
20.2610752247009,431,139,430
20.261924594539742,430,140,430
20.27158236727187,429,141,430
20.296511062657885,428,142,430
20.316608765450464,427,143,430
